                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1593,                 3.2125,                 1.6808,                 0.0063,                0.44737,                0.13845,                0.06206,                 1.8377,                 3.5007,                 1.4344,                0.00022,                0.00022,                0.00022
                      2,                 2.1238,                 2.5176,                 1.7191,                0.00815,                0.57895,                0.15095,                0.07429,                 1.9485,                 3.4049,                 1.4859,             0.00045545,             0.00045545,             0.00045545
                      3,                 2.0064,                 2.1452,                 1.5871,                0.00922,                0.36842,                 0.0798,                0.03393,                  2.159,                  3.327,                 1.6062,             0.00068614,             0.00068614,             0.00068614
                      4,                 1.9714,                 2.1607,                 1.6478,                0.53678,                0.05263,                0.06751,                0.02478,                 2.3106,                 3.3821,                 1.7861,             0.00091208,             0.00091208,             0.00091208
                      5,                 1.9365,                 2.0515,                 1.5878,                0.43095,                0.11404,                  0.118,                0.04679,                 2.2786,                 3.2632,                 1.8532,              0.0011333,              0.0011333,              0.0011333
                      6,                 1.9968,                 2.0496,                  1.617,                0.13494,                 0.0614,                0.03751,                0.01401,                 2.4695,                 3.6624,                 2.0971,              0.0013497,              0.0013497,              0.0013497
                      7,                 1.9986,                 2.0115,                 1.6432,                 0.1225,                0.11404,                0.04653,                0.01564,                 2.4884,                 3.9762,                 2.0765,              0.0015614,              0.0015614,              0.0015614
                      8,                  2.041,                 2.0637,                 1.6933,                0.15691,                0.08772,                0.04717,                0.01216,                 2.4322,                 3.6301,                 1.9706,              0.0017683,              0.0017683,              0.0017683
                      9,                 2.0552,                 2.0664,                 1.6671,                0.12705,                0.12281,                0.05588,                0.01545,                 2.6248,                 3.9148,                 2.2726,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0276,                 1.8964,                 1.6553,                 0.1457,                0.19298,                0.08937,                0.02894,                  2.583,                 3.2367,                 2.1342,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.9248,                 1.9037,                 1.6423,                0.02808,                0.05263,                0.01042,                 0.0023,                 2.9243,                 5.3365,                 2.7697,               0.001802,               0.001802,               0.001802
                     12,                 2.0768,                 1.8777,                 1.7442,                0.07089,                0.08772,                0.02865,                0.00884,                 2.5614,                 4.6239,                 2.4764,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0892,                 1.7628,                 1.6905,                0.13757,                0.15789,                0.07542,                0.02457,                 2.5821,                 3.5606,                 2.1244,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.9796,                 1.7957,                  1.629,                0.26399,                0.27193,                0.17283,                0.05247,                 2.3922,                 2.9916,                 1.9291,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9483,                 1.7214,                 1.5979,                0.26575,                0.25439,                0.18457,                0.04522,                 2.4317,                 2.6211,                  1.813,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9638,                 1.6925,                 1.5753,                0.22994,                0.28947,                 0.1654,                0.05584,                  2.557,                 2.5073,                 1.8794,               0.001703,               0.001703,               0.001703
                     17,                 1.9535,                 1.7649,                 1.6435,                0.31302,                0.25982,                0.20203,                0.06654,                 2.6312,                  2.385,                 1.9792,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8911,                 1.6118,                 1.5484,                0.31519,                0.28947,                0.21634,                0.06553,                 2.4699,                 2.3514,                 1.9119,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9849,                 1.7178,                 1.6328,                0.38624,                0.15789,                0.13712,                0.04439,                 2.6805,                  2.828,                 2.1007,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8921,                 1.7235,                 1.6258,                 0.3134,                0.37719,                 0.2781,                0.09395,                 2.3512,                 2.6116,                 1.8215,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.875,                  1.536,                 1.5097,                0.24814,                0.28947,                0.16056,                0.05315,                 2.6277,                  2.675,                 2.0194,               0.001604,               0.001604,               0.001604
                     22,                 1.9058,                 1.5765,                 1.5707,                0.30708,                 0.2193,                 0.1902,                0.07906,                 2.4574,                  2.573,                 2.0119,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9478,                 1.6863,                 1.6064,                0.23363,                0.30702,                0.17524,                0.05931,                 2.5442,                 2.5124,                 1.9914,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8707,                 1.4887,                 1.5193,                0.38858,                0.32456,                0.30789,                0.11055,                 2.3811,                  2.221,                 1.8743,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.7884,                 1.4828,                 1.4966,                0.49723,                0.23684,                0.28391,                0.08372,                 2.5139,                 2.4286,                 1.9487,              0.0015248,              0.0015248,              0.0015248
                     26,                   1.77,                 1.4867,                 1.5221,                0.57903,                0.30702,                0.34365,                0.10261,                 2.4716,                 2.1583,                 1.9014,               0.001505,               0.001505,               0.001505
                     27,                 1.8054,                 1.4202,                 1.4612,                0.37049,                0.22807,                0.23065,                0.06634,                 2.5289,                 2.4064,                 1.9768,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7427,                 1.4199,                 1.4705,                0.27602,                0.19298,                0.15368,                 0.0448,                 2.6556,                 2.4232,                 2.1387,              0.0014654,              0.0014654,              0.0014654
                     29,                   1.84,                 1.4658,                 1.4903,                0.39203,                0.33373,                0.26803,                0.07703,                 2.5072,                 2.2795,                 1.9606,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8462,                 1.5212,                 1.5497,                0.35093,                 0.2807,                0.23087,                0.07259,                 2.6135,                 2.2464,                 2.0407,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8376,                  1.444,                 1.5235,                0.42685,                0.37719,                0.29995,                 0.0964,                 2.4627,                 2.1953,                 1.9127,               0.001406,               0.001406,               0.001406
                     32,                 1.7663,                 1.3193,                 1.4351,                0.27589,                0.31579,                0.23057,                0.06611,                 2.4878,                 2.3499,                 1.9153,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7024,                 1.3433,                  1.424,                0.29272,                0.32456,                0.20979,                0.07082,                 2.5504,                 2.2788,                 2.0121,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7454,                 1.3341,                 1.4688,                0.45237,                0.23684,                0.24608,                0.07834,                 2.5363,                 2.1692,                 1.9556,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7499,                 1.3205,                  1.435,                0.39335,                0.33333,                0.31386,                0.10542,                 2.3919,                 2.1862,                 1.8668,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7342,                 1.3153,                 1.4605,                0.40868,                0.22435,                0.22052,                0.07878,                 2.7243,                 2.3058,                 2.0483,               0.001307,               0.001307,               0.001307
                     37,                  1.779,                 1.3076,                  1.407,                0.34994,                0.35088,                0.27116,                0.10141,                 2.3393,                 2.2064,                 1.7639,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7284,                 1.2679,                 1.4612,                0.38713,                0.19298,                0.18622,                0.06173,                 2.6379,                 2.5718,                 1.9933,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7252,                 1.3447,                 1.4089,                0.39032,                0.30702,                 0.2549,                0.09466,                 2.4001,                 2.2665,                 1.8395,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5958,                 1.3112,                 1.3845,                0.38635,                0.33333,                0.25618,                0.08584,                 2.4337,                 2.0761,                 1.9033,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7346,                 1.5495,                 1.5033,                0.31975,                0.27193,                0.20591,                0.06857,                 2.6688,                 2.1671,                 2.1236,               0.001208,               0.001208,               0.001208
                     42,                 1.5713,                 1.2476,                 1.3795,                0.39931,                0.26827,                0.23578,                0.08579,                 2.5063,                 2.3653,                 1.8911,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6938,                 1.2202,                 1.3848,                0.29824,                 0.2807,                0.20958,                 0.0863,                 2.4626,                 2.6876,                  1.876,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5102,                 1.1462,                 1.3048,                0.52437,                0.25148,                0.25283,                0.08695,                 2.5545,                 2.4371,                 2.0121,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6847,                 1.2242,                 1.4179,                0.48552,                0.21528,                0.22404,                0.07564,                 2.6717,                 2.4949,                 2.0963,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6934,                 1.2552,                 1.4269,                0.36504,                0.43371,                0.34635,                0.10592,                 2.4854,                  2.228,                 1.9424,               0.001109,               0.001109,               0.001109
                     47,                 1.5426,                 1.2048,                 1.3559,                0.47274,                0.30702,                0.27895,                0.08381,                 2.4426,                 2.1248,                 1.8946,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5688,                 1.1816,                 1.3563,                0.39548,                0.33333,                0.27136,                0.09697,                 2.3718,                 2.1585,                 1.8217,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5962,                 1.1469,                 1.3152,                0.45832,                0.28947,                  0.306,                0.09716,                 2.4547,                 2.2568,                 1.9059,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5238,                  1.089,                 1.3125,                0.36685,                0.44737,                0.32203,                0.10662,                  2.365,                 2.0709,                 1.8359,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5793,                 1.1052,                 1.3311,                0.34704,                0.27509,                0.18408,                0.06477,                 2.5557,                 2.3928,                 1.9638,                0.00101,                0.00101,                0.00101
                     52,                 1.5542,                 1.0976,                  1.314,                0.30686,                0.29825,                0.19389,                0.06917,                 2.5467,                 2.3954,                 1.9925,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5439,                 1.0612,                  1.326,                0.39513,                0.31579,                0.27429,                 0.1041,                 2.3544,                 2.1912,                 1.8383,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5336,                 1.1358,                 1.3494,                0.43849,                0.35965,                0.33464,                0.10557,                 2.4689,                 2.1827,                 1.9026,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6597,                 1.2577,                 1.4593,                0.46373,                0.37719,                0.37383,                0.13946,                 2.3081,                 2.0414,                 1.8389,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4819,                 1.0573,                 1.3353,                0.62075,                0.22807,                0.30651,                0.09759,                 2.5132,                 2.1227,                 1.9985,               0.000911,               0.000911,               0.000911
