                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1593,                 3.2125,                 1.6808,                 0.0063,                0.44737,                0.13845,                0.06206,                 1.8377,                 3.5007,                 1.4344,                0.00022,                0.00022,                0.00022
                      2,                 2.1065,                 2.4883,                 1.7108,                0.00827,                0.58772,                0.14688,                0.07026,                 1.9443,                 3.3918,                  1.491,             0.00045909,             0.00045909,             0.00045909
                      3,                 1.9827,                 2.1498,                 1.5796,                 0.0079,                 0.5614,                0.09072,                0.03759,                 2.0941,                 3.3141,                 1.5738,             0.00069723,             0.00069723,             0.00069723
                      4,                   1.97,                 2.1827,                 1.6119,                0.43219,                0.07018,                0.08474,                0.02655,                 2.2311,                  3.353,                 1.6961,             0.00093442,             0.00093442,             0.00093442
                      5,                 1.9375,                 2.0772,                 1.5813,                0.18289,                0.12281,                 0.0943,                0.03718,                 2.3578,                  3.149,                 1.7804,              0.0011707,              0.0011707,              0.0011707
                      6,                 1.9915,                 2.0359,                 1.6301,                0.34588,                0.28296,                0.19083,                0.04795,                 2.4288,                 3.0075,                 1.7759,              0.0014059,              0.0014059,              0.0014059
                      7,                 1.9885,                 2.0183,                 1.6547,                0.12046,                 0.2193,                0.06643,                0.02143,                 2.5134,                 3.5714,                 2.0221,              0.0016403,              0.0016403,              0.0016403
                      8,                  2.049,                 2.0679,                 1.6853,                0.18169,                0.23684,                0.10416,                0.03411,                 2.4538,                 3.1355,                  1.945,              0.0018737,              0.0018737,              0.0018737
                      9,                 1.9956,                 2.1488,                 1.6574,                 0.1291,                0.24561,                0.06765,                 0.0206,                 2.4458,                 3.2387,                 1.9222,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.0221,                 1.9295,                 1.6786,                0.17645,                0.12281,                0.06596,                0.01842,                 2.5294,                 3.0976,                 1.9471,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.9394,                 1.9442,                  1.659,                0.24949,                0.08772,                0.04433,                0.01479,                 2.6374,                 3.8663,                 2.0951,              0.0019604,              0.0019604,              0.0019604
                     12,                  2.116,                 1.8958,                 1.7157,                0.28302,                0.10526,                0.07095,                0.01851,                 2.8403,                 3.7523,                 2.4684,              0.0019564,              0.0019564,              0.0019564
